base.py[LINE:431]# INFO     [2017-12-04 22:31:16,670]  Adding job tentatively -- it will be properly scheduled when the scheduler starts
base.py[LINE:865]# INFO     [2017-12-04 22:31:16,671]  Added job "job_function" to job store "default"
base.py[LINE:158]# INFO     [2017-12-04 22:31:16,671]  Scheduler started
base.py[LINE:123]# INFO     [2017-12-04 22:31:20,008]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:20 EET)" (scheduled at 2017-12-04 22:31:20+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:31:20,009]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:31:20,009]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:25 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:31:25,015]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:25 EET)" (scheduled at 2017-12-04 22:31:25+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:31:25,015]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:31:25,015]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:25 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:31:30,012]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:30 EET)" (scheduled at 2017-12-04 22:31:30+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:31:30,013]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:31:30,013]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:35 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:31:35,002]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:35 EET)" (scheduled at 2017-12-04 22:31:35+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:31:35,003]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:31:35,003]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:40 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:31:40,007]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:40 EET)" (scheduled at 2017-12-04 22:31:40+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:31:40,008]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:31:40,008]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:45 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:31:45,013]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:45 EET)" (scheduled at 2017-12-04 22:31:45+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:31:45,014]  This is an info message
base.py[LINE:135]# INFO     [2017-12-04 22:31:45,014]  Job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:45 EET)" executed successfully
base.py[LINE:123]# INFO     [2017-12-04 22:31:50,012]  Running job "job_function (trigger: cron[hour='*', minute='*', second='*/5'], next run at: 2017-12-04 22:31:50 EET)" (scheduled at 2017-12-04 22:31:50+02:00)
alt_scr.py[LINE:14]# INFO     [2017-12-04 22:31:50,013]  This is an info message
